/*** CONFIGURATION INFORMATION ***/
"Linux dstat"
"netSpeed = 1000"
"netBandwidth = 1250000"
"netFullDuplex = full"
"netSpeed.eno1 = 1000"
"netBandwidth.eno1 = 1250000"
"netFullDuplex.eno1 = full"
"os_name = Ubuntu 16.04.5 LTS"
"cpu_model = Intel(R) Xeon(R) Gold 5222 CPU @ 3.80GHz"
"cpu_cores = 16"
"cpu_sockets = 2"
"cpu_cores_per_socket = 4"
"cpu_threads_per_core = 2"
"memory_size = 97605068"
"swap_size = 1003516"
"timezoneOffset = -07:00"
"timezoneAbbrev = PDT"
"list_of_ssd = sda(INTEL SSDSCKJB48), nvme0n1(INTEL SSDPE2KX040T8                     ), nvme1n1(INTEL SSDPE2KX040T8                     )"
"list_of_hdd = none"
"pagesize = 4096"
"list_of_md = "
"dataVersion = 6"
"comment = "

/*** START OF PROFILING OUTPUT ***/
"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","server02",,,,"User:","builder"
"Cmdline:","dstat --nocolor --noheaders --epoch --cpu --net -N eno1,total -dD sda,nvme0n1,nvme1n1,loop0 --disk-time --disk-queue --io --mem --page --output .tmp_start_collection",,,,"Date:","28 Apr 2019 23:04:17 PDT"

"epoch","total cpu usage",,,,,,"net/eno1",,"net/total",,"dsk/sda",,"dsk/nvme0n1",,"dsk/nvme1n1",,"dsk/loop0",,"tim/sda",,"tim/nvme0n1",,"tim/nvme1n1",,"tim/loop0",,"qu/sda","qu/nvme0n1","qu/nvme1n1","qu/loop0","io/sda",,"io/nvme0n1",,"io/nvme1n1",,"io/loop0",,"memory usage",,,,"paging",
"epoch","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","read","writ","read","writ","read","writ","read","writ","reads","writs","reads","writs","reads","writs","reads","writs","queue","queue","queue","queue","read","writ","read","writ","read","writ","read","writ","used","buff","cach","free","in","out"
1556517857.592,7.321,1.024,91.305,0.226,0.0,0.124,0.0,0.0,0.0,0.0,5255.336,3945177.995,262.854,2075924.956,59.432,2346948.877,0.027,0.0,41620.0,26984076.0,1372.0,2182460.0,144.0,2390876.0,0.0,0.0,0.0,0.0,0.0,0.0,0.312,250.119,0.047,188.953,0.005,223.064,0.000,0.0,3382132736.0,841723904.0,5164232704.0,90559500288.0,0.0,0.0
1556517858.593,0.0,0.125,99.875,0.0,0.0,0.0,66.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3379163136.0,841723904.0,5164240896.0,90562461696.0,0.0,0.0
1556517859.593,0.062,0.312,99.625,0.0,0.0,0.0,474.0,408.0,474.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3379163136.0,841723904.0,5164240896.0,90562461696.0,0.0,0.0
1556517860.593,0.062,0.125,99.812,0.0,0.0,0.0,540.0,408.0,540.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3379163136.0,841723904.0,5164240896.0,90562461696.0,0.0,0.0
1556517861.593,0.0,0.125,99.875,0.0,0.0,0.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3378630656.0,841723904.0,5164240896.0,90562994176.0,0.0,0.0
1556517862.593,0.062,0.250,99.625,0.062,0.0,0.0,336.0,204.0,336.0,204.0,0.0,0.0,0.0,53248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,3378503680.0,841723904.0,5164240896.0,90563121152.0,0.0,0.0
1556517863.593,0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3378544640.0,841723904.0,5164240896.0,90563080192.0,0.0,0.0
1556517864.593,0.0,0.188,99.812,0.0,0.0,0.0,372.0,306.0,372.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3378061312.0,841723904.0,5164240896.0,90563563520.0,0.0,0.0
1556517865.593,0.125,0.187,99.688,0.0,0.0,0.0,606.0,408.0,606.0,408.0,0.0,45056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3377807360.0,841723904.0,5164240896.0,90563817472.0,0.0,0.0
1556517866.593,0.063,0.125,99.750,0.063,0.0,0.0,540.0,474.0,540.0,474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3377774592.0,841723904.0,5164240896.0,90563850240.0,0.0,0.0
1556517867.593,0.0,0.125,99.875,0.0,0.0,0.0,270.0,204.0,270.0,204.0,0.0,0.0,0.0,49152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,3377909760.0,841723904.0,5164240896.0,90563715072.0,0.0,0.0
1556517868.593,0.062,0.250,99.688,0.0,0.0,0.0,402.0,204.0,402.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3377561600.0,841723904.0,5164240896.0,90564063232.0,0.0,0.0
1556517869.593,0.0,0.250,99.750,0.0,0.0,0.0,270.0,204.0,270.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3377147904.0,841723904.0,5164240896.0,90564476928.0,0.0,0.0
1556517870.593,0.125,0.125,99.750,0.0,0.0,0.0,438.0,306.0,438.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3377008640.0,841723904.0,5164244992.0,90564612096.0,0.0,0.0
1556517871.593,0.062,0.187,99.750,0.0,0.0,0.0,102.0,102.0,102.0,102.0,0.0,32768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3376656384.0,841723904.0,5164244992.0,90564964352.0,0.0,0.0
1556517872.593,0.0,0.187,99.750,0.062,0.0,0.0,606.0,408.0,606.0,408.0,0.0,0.0,0.0,8192.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3376148480.0,841723904.0,5164244992.0,90565472256.0,0.0,0.0
1556517873.593,0.063,0.188,99.750,0.0,0.0,0.0,234.0,102.0,234.0,102.0,0.0,0.0,0.0,28672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,3376115712.0,841723904.0,5164244992.0,90565505024.0,0.0,0.0
1556517874.593,0.063,0.188,99.750,0.0,0.0,0.0,606.0,416.0,606.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3375894528.0,841723904.0,5164244992.0,90565726208.0,0.0,0.0
1556517875.593,0.062,0.187,99.750,0.0,0.0,0.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3375644672.0,841723904.0,5164244992.0,90565976064.0,0.0,0.0
1556517876.593,0.062,0.187,99.688,0.062,0.0,0.0,168.0,102.0,168.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3375804416.0,841723904.0,5164244992.0,90565816320.0,0.0,0.0
1556517877.593,0.062,0.187,99.750,0.0,0.0,0.0,270.0,204.0,270.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3375263744.0,841723904.0,5164244992.0,90566356992.0,0.0,0.0
1556517878.593,0.063,0.125,99.812,0.0,0.0,0.0,168.0,102.0,168.0,102.0,0.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3375099904.0,841723904.0,5164244992.0,90566520832.0,0.0,0.0
1556517879.593,0.062,0.312,99.625,0.0,0.0,0.0,438.0,306.0,438.0,306.0,0.0,32768.0,0.0,20480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,3374972928.0,841723904.0,5164244992.0,90566647808.0,0.0,0.0
