/*** CONFIGURATION INFORMATION ***/
"Linux dstat"
"netSpeed = 1000"
"netBandwidth = 1250000"
"netFullDuplex = full"
"netSpeed.eno1 = 1000"
"netBandwidth.eno1 = 1250000"
"netFullDuplex.eno1 = full"
"os_name = Ubuntu 16.04.5 LTS"
"cpu_model = Intel(R) Xeon(R) Gold 5222 CPU @ 3.80GHz"
"cpu_cores = 16"
"cpu_sockets = 2"
"cpu_cores_per_socket = 4"
"cpu_threads_per_core = 2"
"memory_size = 97605068"
"swap_size = 1003516"
"timezoneOffset = -07:00"
"timezoneAbbrev = PDT"
"list_of_ssd = sda(INTEL SSDSCKJB48), nvme0n1(INTEL SSDPE2KX040T8                     ), nvme1n1(INTEL SSDPE2KX040T8                     )"
"list_of_hdd = none"
"pagesize = 4096"
"list_of_md = "
"dataVersion = 6"
"comment = "

/*** START OF PROFILING OUTPUT ***/
"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","server02",,,,"User:","builder"
"Cmdline:","dstat --nocolor --noheaders --epoch --cpu --net -N eno1,total -dD sda,nvme0n1,nvme1n1,loop0 --disk-time --disk-queue --io --mem --page --output .tmp_start_collection",,,,"Date:","28 Apr 2019 23:22:14 PDT"

"epoch","total cpu usage",,,,,,"net/eno1",,"net/total",,"dsk/sda",,"dsk/nvme0n1",,"dsk/nvme1n1",,"dsk/loop0",,"tim/sda",,"tim/nvme0n1",,"tim/nvme1n1",,"tim/loop0",,"qu/sda","qu/nvme0n1","qu/nvme1n1","qu/loop0","io/sda",,"io/nvme0n1",,"io/nvme1n1",,"io/loop0",,"memory usage",,,,"paging",
"epoch","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","read","writ","read","writ","read","writ","read","writ","reads","writs","reads","writs","reads","writs","reads","writs","queue","queue","queue","queue","read","writ","read","writ","read","writ","read","writ","used","buff","cach","free","in","out"
1556518934.626,7.500,1.044,91.102,0.226,0.0,0.128,0.0,0.0,0.0,0.0,5236.649,3938801.116,261.919,2170287.831,59.329,2459476.333,0.027,0.0,41620.0,27325548.0,1372.0,2272848.0,144.0,2488860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.311,249.280,0.046,202.198,0.005,238.672,0.000,0.0,3435126784.0,843247616.0,19515826176.0,76153389056.0,0.0,0.0
1556518935.627,0.0,0.063,99.937,0.0,0.0,0.0,66.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3433390080.0,843247616.0,19515834368.0,76155117568.0,0.0,0.0
1556518936.627,0.0,0.125,99.875,0.0,0.0,0.0,744.0,612.0,744.0,612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3433242624.0,843247616.0,19515834368.0,76155265024.0,0.0,0.0
1556518937.627,0.0,0.188,99.812,0.0,0.0,0.0,876.0,612.0,876.0,612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3433242624.0,843247616.0,19515834368.0,76155265024.0,0.0,0.0
1556518938.627,0.062,0.188,99.750,0.0,0.0,0.0,708.0,510.0,708.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3432480768.0,843247616.0,19515834368.0,76156026880.0,0.0,0.0
1556518939.627,0.062,0.250,99.625,0.062,0.0,0.0,708.0,722.0,708.0,722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3432955904.0,843247616.0,19515834368.0,76155551744.0,0.0,0.0
1556518940.627,0.062,0.250,99.688,0.0,0.0,0.0,876.0,714.0,876.0,714.0,0.0,0.0,0.0,32768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,3432837120.0,843247616.0,19515834368.0,76155670528.0,0.0,0.0
1556518941.627,0.0,0.250,99.750,0.0,0.0,0.0,1448.0,1616.0,1448.0,1616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3432267776.0,843247616.0,19515834368.0,76156239872.0,0.0,0.0
1556518942.627,0.125,0.125,99.750,0.0,0.0,0.0,1008.0,714.0,1008.0,714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3432300544.0,843247616.0,19515834368.0,76156207104.0,0.0,0.0
1556518943.627,0.0,0.188,99.812,0.0,0.0,0.0,66.0,0.0,66.0,0.0,0.0,36864.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3431727104.0,843247616.0,19515834368.0,76156780544.0,0.0,0.0
1556518944.627,0.0,0.188,99.812,0.0,0.0,0.0,168.0,102.0,168.0,102.0,0.0,126976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,3431473152.0,843247616.0,19515834368.0,76157034496.0,0.0,0.0
1556518945.627,0.125,0.125,99.688,0.062,0.0,0.0,162.0,102.0,162.0,102.0,0.0,0.0,0.0,53248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,3431346176.0,843247616.0,19515834368.0,76157161472.0,0.0,0.0
1556518946.627,0.063,0.125,99.812,0.0,0.0,0.0,540.0,408.0,540.0,408.0,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3431346176.0,843247616.0,19515834368.0,76157161472.0,0.0,0.0
1556518947.627,0.0,0.125,99.875,0.0,0.0,0.0,576.0,510.0,576.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3431120896.0,843247616.0,19515838464.0,76157382656.0,0.0,0.0
1556518948.627,0.062,0.125,99.812,0.0,0.0,0.0,942.0,612.0,942.0,612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3430834176.0,843247616.0,19515838464.0,76157669376.0,0.0,0.0
1556518949.627,0.0,0.188,99.812,0.0,0.0,0.0,540.0,408.0,540.0,408.0,0.0,81920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3430707200.0,843247616.0,19515838464.0,76157796352.0,0.0,0.0
1556518950.627,0.0,0.125,99.812,0.062,0.0,0.0,438.0,306.0,438.0,306.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3430326272.0,843247616.0,19515838464.0,76158177280.0,0.0,0.0
1556518951.627,0.062,0.187,99.750,0.0,0.0,0.0,708.0,510.0,708.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3430232064.0,843247616.0,19515838464.0,76158271488.0,0.0,0.0
1556518952.627,0.063,0.125,99.812,0.0,0.0,0.0,438.0,306.0,438.0,306.0,4096.0,0.0,0.0,16384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3430273024.0,843251712.0,19515838464.0,76158226432.0,0.0,0.0
