/*** CONFIGURATION INFORMATION ***/
"Linux dstat"
"netSpeed = 1000"
"netBandwidth = 1250000"
"netFullDuplex = full"
"netSpeed.eno1 = 1000"
"netBandwidth.eno1 = 1250000"
"netFullDuplex.eno1 = full"
"os_name = Ubuntu 16.04.5 LTS"
"cpu_model = Intel(R) Xeon(R) Gold 5222 CPU @ 3.80GHz"
"cpu_cores = 16"
"cpu_sockets = 2"
"cpu_cores_per_socket = 4"
"cpu_threads_per_core = 2"
"memory_size = 97605068"
"swap_size = 1003516"
"timezoneOffset = -07:00"
"timezoneAbbrev = PDT"
"list_of_ssd = sda(INTEL SSDSCKJB48), nvme0n1(INTEL SSDPE2KX040T8                     ), nvme1n1(INTEL SSDPE2KX040T8                     )"
"list_of_hdd = none"
"pagesize = 4096"
"list_of_md = "
"dataVersion = 6"
"comment = "

/*** START OF PROFILING OUTPUT ***/
"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","server02",,,,"User:","builder"
"Cmdline:","dstat --nocolor --noheaders --epoch --cpu --net -N eno1,total -dD sda,nvme0n1,nvme1n1,loop0 --disk-time --disk-queue --io --mem --page --output .tmp_start_collection",,,,"Date:","26 Apr 2019 04:16:40 PDT"

"epoch","total cpu usage",,,,,,"net/eno1",,"net/total",,"dsk/sda",,"dsk/nvme0n1",,"dsk/nvme1n1",,"dsk/loop0",,"tim/sda",,"tim/nvme0n1",,"tim/nvme1n1",,"tim/loop0",,"qu/sda","qu/nvme0n1","qu/nvme1n1","qu/loop0","io/sda",,"io/nvme0n1",,"io/nvme1n1",,"io/loop0",,"memory usage",,,,"paging",
"epoch","usr","sys","idl","wai","hiq","siq","recv","send","recv","send","read","writ","read","writ","read","writ","read","writ","reads","writs","reads","writs","reads","writs","reads","writs","queue","queue","queue","queue","read","writ","read","writ","read","writ","read","writ","used","buff","cach","free","in","out"
1556277400.467,12.044,1.504,86.132,0.124,0.0,0.195,0.0,0.0,0.0,0.0,23155.332,1594113.135,754.533,6411613.057,288.017,7230072.694,0.134,0.0,30824.0,4544032.0,432.0,1353172.0,136.0,1482652.0,0.0,0.0,0.0,0.0,0.0,0.0,1.064,113.386,0.098,600.547,0.025,710.129,0.000,0.0,2443436032.0,669208576.0,4419846144.0,92415098880.0,0.0,0.0
1556277401.468,0.0,0.187,99.813,0.0,0.0,0.0,66.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2441441280.0,669208576.0,4419854336.0,92417085440.0,0.0,0.0
1556277402.468,0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2441441280.0,669208576.0,4419854336.0,92417085440.0,0.0,0.0
1556277403.468,0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2441441280.0,669208576.0,4419854336.0,92417085440.0,0.0,0.0
1556277404.468,0.0,0.187,99.813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2440908800.0,669208576.0,4419854336.0,92417617920.0,0.0,0.0
1556277405.468,0.0,0.188,99.750,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2440908800.0,669208576.0,4419854336.0,92417617920.0,0.0,0.0
1556277406.468,0.0,0.188,99.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2440908800.0,669208576.0,4419854336.0,92417617920.0,0.0,0.0
1556277407.468,0.0,0.125,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2440654848.0,669208576.0,4419854336.0,92417871872.0,0.0,0.0
1556277408.468,0.063,0.063,99.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2440654848.0,669208576.0,4419854336.0,92417871872.0,0.0,0.0
1556277409.468,0.0,0.188,99.812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2440654848.0,669208576.0,4419854336.0,92417871872.0,0.0,0.0
1556277410.468,0.062,0.125,99.813,0.0,0.0,0.0,204.0,212.0,204.0,212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2440400896.0,669208576.0,4419854336.0,92418125824.0,0.0,0.0
1556277411.468,0.0,0.125,99.812,0.063,0.0,0.0,234.0,110.0,234.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2440273920.0,669208576.0,4419854336.0,92418252800.0,0.0,0.0
1556277412.468,0.0,0.187,99.813,0.0,0.0,0.0,168.0,204.0,168.0,204.0,0.0,0.0,0.0,12288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2440273920.0,669208576.0,4419854336.0,92418252800.0,0.0,0.0
1556277413.468,0.062,0.188,99.750,0.0,0.0,0.0,102.0,102.0,102.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2440015872.0,669208576.0,4419858432.0,92418506752.0,0.0,0.0
1556277414.468,0.0,0.125,99.875,0.0,0.0,0.0,234.0,102.0,234.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2439888896.0,669208576.0,4419858432.0,92418633728.0,0.0,0.0
1556277415.468,0.0,0.125,99.812,0.063,0.0,0.0,168.0,102.0,168.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2439856128.0,669208576.0,4419858432.0,92418666496.0,0.0,0.0
1556277416.468,0.062,0.187,99.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2438266880.0,669208576.0,4419858432.0,92420255744.0,0.0,0.0
1556277417.468,5.188,0.812,94.0,0.0,0.0,0.0,234.0,416.0,234.0,416.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2523414528.0,669208576.0,4447072256.0,92307894272.0,0.0,0.0
1556277418.468,7.649,6.771,84.639,0.690,0.0,0.251,758.0,369.0,758.0,1053.0,0.0,30203904.0,0.0,36864.0,0.0,0.0,0.0,0.0,0.0,3476.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387.0,0.0,9.0,0.0,0.0,0.0,0.0,2647080960.0,669208576.0,4447248384.0,92184051712.0,0.0,0.0
1556277419.467,9.905,7.192,82.587,0.126,0.0,0.189,618.0,304.0,618.0,4352.0,0.0,5324800.0,0.0,0.0,0.0,204800.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,480.0,0.0,174.0,0.0,48.0,0.0,0.0,2673532928.0,669208576.0,4447682560.0,92157165568.0,0.0,0.0
